Northing,Easting,Zone
5090945.5016508,682685.939761045,19
5090945.5016508,682685.939761045,19
5090997.98913205,686957.010480386,19
5090997.98913205,686957.010480386,19
5091217.04050511,681301.483748657,19
5091061.37179584,681751.761572499,19
5091111.44653422,681745.400910966,19
5091210.67217984,681689.967804177,19
5091156.12492941,681876.726067522,19
5091217.43756257,682036.569216108,19
5091220.69126598,681947.038833695,19
5091081.84694929,682125.736851875,19
5091081.84694929,682125.736851875,19
5091199.26723394,682212.173978038,19
5091244.68423355,682051.744650285,19
5091068.80317268,682395.751212294,19
5091070.0291081,682361.972461639,19
5091070.0291081,682361.972461639,19
5091070.0291081,682361.972461639,19
5091070.0291081,682361.972461639,19
5091105.79551503,682281.563567002,19
5091165.83032375,682315.007109849,19
5091100.82050989,682519.613611017,19
5091131.68759724,682627.064418084,19
5091135.59252346,682537.27979107,19
5091135.59252346,682537.27979107,19
5091147.89755511,682543.509337791,19
5091147.89755511,682543.509337791,19
5091147.89755511,682543.509337791,19
5091152.14577415,682638.249729112,19
5091153.21174814,682512.635238665,19
5091189.45186068,682658.865287094,19
5091238.72334968,683042.064767895,19
5091212.09789266,683122.904277111,19
5091230.93111413,683251.651468055,19
5091250.04827786,681228.921526096,19
5091259.20145915,682121.669321328,19
5091323.68704565,682192.911683153,19
5091369.2246922,682089.337243828,19
5091278.90466902,682513.88427908,19
5091278.90466902,682513.88427908,19
5091339.76764896,682537.681947812,19
5091342.02084233,682549.948302506,19
5091342.02084233,682549.948302506,19
5091381.81662811,682485.555998803,19
5091418.49666188,682612.841774433,19
5091282.60882205,682657.893565884,19
5091360.20955622,682698.646929861,19
5091392.40141414,682655.42126933,19
5091424.48978056,682661.297710952,19
5091427.17028308,682909.504059772,19
5091435.72351788,682886.679247688,19
5091435.72351788,682886.679247688,19
5091435.72351788,682886.679247688,19
5091435.72351788,682886.679247688,19
5091444.20637775,682887.746582108,19
5091328.72151234,683129.529206201,19
5091426.07356236,683112.524904991,19
5091405.52236643,683356.690974508,19
5091337.14716128,684432.021178471,19
5091345.87370894,684452.393567492,19
5091265.73630007,685048.114398228,19
5091266.25696119,685046.935251571,19
5091494.35505,671309.318432174,19
5091588.31011186,681308.266151662,19
5091562.44530903,681993.588784495,19
5091597.9099282,681963.147375692,19
5091597.9099282,681963.147375692,19
5091597.9099282,681963.147375692,19
5091622.94357186,682027.716524899,19
5091627.66544066,681912.55341527,19
5091627.66544066,681912.55341527,19
5091627.66544066,681912.55341527,19
5091635.89029023,681957.684539862,19
5091456.79614467,682166.645501713,19
5091623.55644408,682176.617153306,19
5091623.55644408,682176.617153306,19
5091623.55644408,682176.617153306,19
5091623.55644408,682176.617153306,19
5091478.21483366,682443.769747261,19
5091478.21483366,682443.769747261,19
5091480.92712179,682445.240880101,19
5091615.73187792,682374.786539496,19
5091453.17431679,682555.892143858,19
5091615.95119291,682626.625016022,19
5091583.09090245,683198.772537322,19
5091586.60956513,683234.890284279,19
5091586.60956513,683234.890284279,19
5091586.60956513,683234.890284279,19
5091632.44070726,683321.564074797,19
5091632.44070726,683321.564074797,19
5091542.71382438,684831.936735151,19
5091643.10205205,685116.696555056,19
5091726.89918688,671270.993200378,19
5091742.63988095,673241.022019149,19
5091805.73927498,681460.798761755,19
5091823.49536054,681618.341492351,19
5091823.49536054,681618.341492351,19
5091829.65735355,681544.324354084,19
5091694.064544,681792.239386496,19
5091703.68642143,681775.358119211,19
5091734.56312764,681781.6620897,19
5091785.27429447,681687.407871772,19
5091654.84835184,682046.243759297,19
5091743.68615948,681959.161133968,19
5091743.68615948,681959.161133968,19
5091784.37470684,681947.491343836,19
5091837.99362514,682031.148435605,19
5091654.74861652,682182.289473676,19
5091670.06706995,682155.001230044,19
5091682.85181688,682132.286417909,19
5091682.85181688,682132.286417909,19
5091691.8004763,682596.924573817,19
5091718.1082053,682565.277146195,19
5091718.1082053,682565.277146195,19
5091718.1082053,682565.277146195,19
5091718.1082053,682565.277146195,19
5091670.38627741,682696.216571772,19
5091693.27232136,682999.503867499,19
5091837.77483752,682885.007718926,19
5091837.77483752,682885.007718926,19
5091700.34739718,683069.332527031,19
5091701.92888516,683066.415841338,19
5091701.92888516,683066.415841338,19
