Northing,Easting,value
5081350,675550,0
5081350,675750,0
5081350,675950,0
5081350,676150,0
5081350,676350,0
5081350,676550,0
5081350,676750,0
5081350,676950,0
5081350,677150,0
5081350,677350,0
5081350,677550,0
5081350,677750,0
5081350,677950,0
5081350,678150,0
5081350,678350,0
5081350,678550,0
5081350,678750,0
5081350,678950,0
5081350,679150,0
5081350,679350,0
5081350,679550,0
5081350,679750,0
5081350,679950,0
5081350,680150,0
5081350,680350,0
5081350,680550,0
5081350,680750,0
5081350,680950,0
5081350,681150,0
5081350,681350,0
5081350,681550,0
5081350,681750,0
5081350,681950,0
5081350,682150,0
5081350,682350,0
5081350,682550,0
5081350,682750,0
5081350,682950,0
5081350,683150,0
5081350,683350,0
5081350,683550,0
5081350,683750,0
5081350,683950,0
5081350,684150,0
5081350,684350,0
5081350,684550,0
5081350,684750,0
5081350,684950,0
5081350,685150,0
5081350,685350,0
5081350,685550,0
5081350,685750,0
5081350,685950,0
5081350,686150,0
5081350,686350,0
5081350,686550,0
5081350,686750,0
5081350,686950,0
5081350,687150,0
5081350,687350,0
5081350,687550,0
5081350,687750,0
5081350,687950,0
5081350,688150,0
5081350,688350,0
5081350,688550,0
5081350,688750,0
5081350,688950,0
5081350,689150,0
5081350,689350,0
5081350,689550,0
5081350,689750,0
5081350,689950,0
5081550,671350,0
5081550,671550,0
5081550,671750,0
5081550,671950,0
5081550,672150,0
5081550,672350,0
5081550,672550,0
5081550,672750,0
5081550,672950,0
5081550,673150,0
5081550,673350,0
5081550,673550,0
5081550,673750,0
5081550,673950,0
5081550,674150,0
5081550,674350,0
5081550,674550,0
5081550,674750,0
5081550,674950,0
5081550,675150,0
5081550,675350,0
5081550,675550,0
5081550,675750,0
5081550,675950,0
5081550,676150,0
5081550,676350,0
5081550,676550,0
5081550,676750,0
5081550,676950,0
5081550,677150,0
5081550,677350,0
5081550,677550,0
5081550,677750,0
5081550,677950,0
5081550,678150,0
5081550,678350,0
5081550,678550,0
5081550,678750,0
5081550,678950,0
5081550,679150,0
5081550,679350,0
5081550,679550,0
5081550,679750,0
5081550,679950,0
5081550,680150,0
5081550,680350,0
5081550,680550,0
5081550,680750,0
5081550,680950,0
5081550,681150,0
5081550,681350,0
5081550,681550,0
5081550,681750,0
5081550,681950,0
5081550,682150,0
5081550,682350,0
5081550,682550,0
5081550,682750,0
5081550,682950,0
5081550,683150,0
5081550,683350,0
5081550,683550,0
5081550,683750,0
5081550,683950,0
5081550,684150,0
5081550,684350,0
5081550,684550,0
5081550,684750,0
5081550,684950,0
5081550,685150,0
5081550,685350,0
